"Variable","(Intercept)_Estimate","FCNOFC_Estimate","ISI_Estimate","FCNOFC_ISI_Estimate","(Intercept)t_P_Value","FCNOFC_P_Value","ISI_P_Value","FCNOFC_ISI_P_Value"
"X35",4.776210657625,-0.086698817,-0.00716309799999985,0.138280124624999,3.87597647695945e-44,0.0322904511041405,0.853682548587531,0.0168873618080836
"X36",4.7716745625,-0.0177832729999998,-0.0154908307499998,0.0458255412499997,1.73712437642474e-47,0.547250017466345,0.599784176906926,0.276358684002713
"X37",4.878896907125,0.116813870625,0.00161071387499972,-0.103854056,1.06219130921101e-39,0.0486028781723099,0.977519487720903,0.205467208869912
"X38",3.61151327075,0.0848494061249999,0.0191523584999999,-0.0940257763750005,5.46460159574395e-37,0.116849156514146,0.717673981332329,0.215268104040972
"X39",3.58896535275,0.04316844475,-0.0177585996249999,0.0102915765000005,8.05184538130492e-34,0.528801165254245,0.794958690203258,0.915147219605352
"X40",3.732371181625,0.04866010075,0.0602741158749999,-0.0497280825000008,6.29434152646168e-35,0.455094749766254,0.356132838585998,0.588461836774715
"X42",3.912896621625,0.12687878275,-0.0346186876249999,-0.0262106543750002,2.54514017693412e-32,0.140021606709562,0.681734689019428,0.826033469900869
"X43",3.929959049125,0.103152085,0.0983295345,-0.136437387625001,2.10198293001358e-35,0.123934514548975,0.141739597309297,0.149113133670343
"X44",4.351977174625,-0.307264665625,-0.0615601173749999,0.069301876999999,1.17312412973974e-33,0.000949828788062074,0.465474004426542,0.560553910855948
"X45",3.7024325225,0.00636907162500003,-0.0518714982499999,-0.0135357005000009,1.07451454046653e-43,0.838392387485865,0.104761733690085,0.759343427219601
"X46",4.0734498555,0.020136082,0.0571099166250001,-0.036380386250001,3.02407879410612e-40,0.659536488988136,0.217034027896593,0.57397619795734
"X47",4.527880310875,0.077731075125,-0.00145828937499993,-0.0863067922500017,9.93240092611932e-44,0.0487882594329512,0.96944397233181,0.116992357478192
