"Variable","(Intercept)_Estimate","FCNOFC_Estimate","ISI_Estimate","FCNOFC_ISI_Estimate","(Intercept)t_P_Value","FCNOFC_P_Value","ISI_P_Value","FCNOFC_ISI_P_Value"
"X103",4.195920736625,-0.203083267875,0.0105658446249999,0.0673223231249995,5.05762182405937e-31,0.0513112677449627,0.916395665998283,0.636888408803048
"X104",4.91134809125,-0.07120221775,-0.0329535955000001,0.097496603,2.14324305165593e-49,0.00976621347971728,0.209855202391275,0.0120483333283836
"X105",5.3295432825,-0.125088433375,-0.00480527312499962,0.0384600348749984,1.40774718124695e-39,0.0551659352947876,0.939273443162991,0.666864269186776
"X106",4.4244775175,0.00904570212500003,-0.00678323937499992,-0.0614537103750003,3.96871499253302e-43,0.817078719946981,0.862267703619131,0.271534577890874
"X107",4.088399410125,0.0181680854999999,0.01021955,-0.0382826147500012,1.99064157997217e-49,0.401293683015841,0.635374622205052,0.214586325499193
"X108",5.073079885625,-0.145285181375,-0.025898418875,0.0666832888749998,9.58703100460651e-38,0.0449329064492454,0.71106456091839,0.501268606157001
"X109",4.011134028375,0.0322897866250001,0.0201024352500001,0.0453540216249995,1.47215740343682e-37,0.565825836379422,0.720241516064833,0.568456087251773
"X110",4.240576501625,0.0669343178749999,0.02032910875,-0.0507955800000018,4.42798782973818e-47,0.0187378519927651,0.454803766490338,0.191279196714007
"X111",5.846410481625,0.000944670750000053,-0.00552613312500006,-0.0353842122500014,8.83115152630708e-58,0.95131744634822,0.721282949041188,0.113966034980962
"X112",5.012620258,-0.0262643308749999,0.0025017193750001,0.0163025049999987,1.80512362935174e-53,0.172105055056689,0.894769969249337,0.543487954069424
"X113",4.020912071,0.0308396598749999,-0.315550506375,0.286091656625,1.64019789004854e-23,0.864412260386989,0.0887536879655584,0.267869055351036
"X114",2.80677134075,-0.0732889108750001,-0.0357550355,0.0480695849999996,2.29155295015774e-32,0.229791088586236,0.554029773630741,0.573640248938953
"X115",4.185583984375,-0.1155678895,-0.0137034742499998,0.108260857249999,2.06187920027191e-44,0.00155620028529912,0.680868546665305,0.0277469607512142
"X116",5.1055034525,-0.114428493125,-0.0261528420000001,0.104469207125001,1.64461455649294e-43,0.0133496905829452,0.550878766559404,0.0992094707543709
"X117",4.071300636375,-0.214929590125,-0.0281773492499999,0.145070438374999,1.00545042702789e-35,0.00280975796463402,0.670889940657948,0.129195198859754
"X118",3.627451192875,0.0707836525000001,-0.00656933574999994,-0.0135548422500009,2.45485243358362e-37,0.177589922762492,0.898784773418851,0.852797391973372
