"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"60",-0.020049,-0.036488,0.16051,-0.11787,0.012459,0.0024929,0.028813,0.02339,0.01309,-0.026965,-0.12014,-0.062029,0.011321,-0.022341,-0.087356,0.024572,0.047051,0.007728,-0.010194,-0.11342,-0.087426,-0.040126,0.0093509,-0.044619,0.090569,0.021924,-0.068951,0.065916,-0.0016737,0.077899,-0.0029628,-0.11034,-0.017924,0.063418,0.18233,0.053956,0.14514
"61",-0.093701,0.0143,0.096075,0.052049,-0.32335,-0.14944,-0.10422,-0.023562,-0.020412,-0.15899,-0.0051207,-0.017328,0.023362,-0.032124,-0.078845,0.033286,-0.057039,-0.0019457,-0.050763,-0.1318,0.060382,-0.023322,0.016939,-0.072107,0.0089338,-0.050147,-0.024918,0.016617,-0.090951,0.045067,-0.0076756,-0.017297,0.05801,0.0080532,-0.093111,-0.054238,-0.0041223
"62",-0.01258,-0.059503,-0.010968,-0.18595,0.096576,-0.055363,-0.16552,-0.022849,-0.12021,-0.0077163,-0.015412,-0.0035922,-0.047093,-0.22955,-0.059644,-0.071207,-0.043412,0.1008,0.12797,-0.14576,0.024494,-0.068265,0.0063014,-0.073163,-0.077904,-0.040052,0.08933,-0.21446,0.0456,0.064713,0.073357,-0.20335,-0.013185,0.12757,0.020939,-0.20022,0.0065088
"63",0.12349,0.17871,-0.066755,0.072576,-0.096898,-0.00089112,0.0053326,-0.1051,-0.1072,0.054622,-0.21305,0.10117,-0.030935,0.0027196,0.047126,0.079495,0.040359,-0.052729,-0.016498,0.061804,-0.20468,-0.20929,0.048103,0.17059,-0.10853,0.030733,-0.12122,-0.0045461,0.0060057,0.1175,-0.0011343,-0.082648,0.083381,0.0039269,0.026065,-0.060317,-0.065433
"64",0.00055377,0.034358,0.17688,-0.033965,0.063494,0.062034,0.025662,0.045729,0.053623,-0.16553,-0.059805,-0.060708,-0.094713,-0.034149,0.0081116,-0.02723,0.049549,0.017262,0.030505,-0.062413,-0.018726,-0.050007,-0.031012,0.014963,-0.032744,-0.043371,-0.091293,0.028622,-0.11361,0.075937,0.062495,0.12293,0.016703,0.0014602,-0.08284,-0.061951,0.02852
"65",0.046767,-0.11753,0.022219,0.0031516,0.045572,-0.002956,-0.11262,0.063495,0.12412,-0.028194,0.072928,0.022446,-0.088132,0.1165,-0.092959,0.022771,0.20555,0.10335,-0.15706,0.03078,-0.11964,0.043649,-0.064295,-0.099569,-0.036598,-0.0013605,-0.19776,-0.22258,-0.049712,0.095136,-0.0051177,0.12184,0.080166,0.05736,-0.1156,0.11407,0.095109
"66",-0.064735,-0.062826,-0.22668,-0.06094,0.0020259,-0.053551,-0.044678,-0.12936,0.10565,-0.098273,-0.087434,-0.1175,0.040555,0.10901,-0.010389,0.000413,-0.084892,-0.019813,-0.086001,0.062806,0.043094,0.082372,-0.03751,0.049987,0.010948,0.044797,-0.04404,-0.08131,0.09328,0.048418,-0.013939,-0.017349,-0.094135,-0.04024,-0.093057,-0.075077,-0.069925
"67",0.042357,-0.049396,0.15447,-0.056997,0.073218,-0.055073,-0.026104,-0.011102,0.015274,-0.00029158,-0.10693,0.064113,-0.014164,-0.11006,0.03277,-0.019649,0.092232,0.026376,-0.0049476,-0.10962,0.11708,0.041724,-0.010199,0.033826,-0.099297,-0.0041398,0.013825,0.042014,-0.026342,0.011257,-0.099349,-0.12334,0.11583,-0.10285,-0.017615,0.041901,-0.14202
"68",-0.029548,0.080165,-0.043201,0.010432,0.0073923,0.050171,-0.19594,-0.0020557,0.0063581,-0.05167,0.019028,-0.16995,-0.017345,0.021692,-0.030259,-0.038871,0.028179,0.026117,-0.011607,-0.055344,0.060588,-0.059846,-0.043367,-0.015464,-0.010572,0.043431,0.01086,0.081948,-0.054325,0.03662,0.013777,-0.0068896,0.07132,-0.1437,-0.033882,-0.12786,0.00062242
"69",-0.064551,0.060879,0.039856,-0.040456,0.0032573,0.022141,-0.15474,-0.002925,0.0084828,-0.047121,0.021194,-0.14475,-0.11554,-0.0011191,0.014765,-0.11715,0.05736,-0.0823,-0.10555,0.15324,-0.050681,-0.19971,0.044101,-0.038993,0.047122,0.11143,-0.07942,0.098142,-0.099951,0.20803,-0.0071974,-0.20556,0.055666,-0.087125,-0.21744,0.040614,0.0011405
