"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"135",-0.005869,-0.18138,0.015513,-0.028121,-0.085064,-0.062559,-0.10708,0.047649,0.030354,-0.031673,-0.037694,0.042235,0.10638,-0.12772,-0.0096057,-0.078079,0.012126,0.018103,-0.035606,-0.0046644,-0.19907,0.079014,0.099037,0.12303,0.084122,-0.15419,0.046879,0.099328,0.18719,0.017321,0.018411,-0.016612,0.027002,-0.04073,-0.098649,-0.016783,-0.087169
"136",0.0044499,-0.12692,0.059025,0.034929,0.058659,0.088754,-0.12254,-0.042986,-0.0038274,-0.037794,0.077938,-0.029529,-0.016438,0.081663,0.045998,-0.12078,-0.030791,-0.054856,-0.054436,0.028719,-0.11341,0.040734,0.081676,0.021422,-0.12168,0.014832,0.0039749,-0.0011828,-0.048186,0.04197,-0.031901,0.029958,0.012497,0.0044581,0.078515,0.21767,0.016498
"137",-0.045851,-0.18616,0.0095776,-0.039893,-0.048115,-0.070575,-0.1078,0.045392,0.063952,-0.061405,-0.041505,0.035479,0.087964,-0.085697,0.042892,0.020971,0.019573,-0.032472,-0.069041,-0.024093,-0.094852,0.075447,0.11222,0.14002,0.12117,-0.055938,0.21146,-0.070169,0.065709,0.04239,-0.020122,0.0044317,0.082418,-0.021075,0.046441,-0.054615,0.0192
"138",-0.071047,-0.088656,-0.04941,0.032903,0.042894,-0.027638,-0.011573,-0.12863,-0.086091,0.0072143,-0.00543,-0.046771,0.053506,0.12174,0.13792,-0.079817,-0.13546,0.025279,-0.061716,0.013615,0.21836,0.011238,0.038801,0.046671,0.070129,-0.2604,0.053882,0.15759,-0.077065,0.085248,0.14956,0.024756,-0.064137,0.090281,-0.1573,0.11717,0.083441
"139",-0.061261,-0.067149,-0.0081803,0.13731,0.10658,0.02928,-0.030316,-0.035629,0.0023568,0.034313,-0.036542,-0.1434,0.018548,-0.065104,0.059696,-0.04768,-0.016206,-0.033682,-0.068804,-0.02485,-0.0087895,-0.083762,0.053785,-0.012271,-0.028547,-0.080701,-0.036572,-0.018195,0.062531,-0.12207,-0.075174,-0.036153,0.02723,-0.070244,0.14465,-0.059286,-0.058608
"140",-0.027672,0.10677,0.0055791,-0.0436,-0.0063702,0.01335,0.0034702,-0.037136,0.074006,-0.010368,-0.011282,-0.030284,0.13369,0.045223,-0.069338,-0.04879,-0.062959,-0.037111,0.0031549,0.089349,-0.060673,0.014525,0.014646,-0.036837,-0.019601,0.0066733,-0.066923,-0.029152,-0.039395,0.023911,-0.0053095,0.034359,-0.0024585,0.069628,-0.021218,0.032471,0.00042657
"141",-0.0058042,0.13437,-0.026026,0.038614,-0.017845,0.026264,-0.0027254,0.051224,-0.015933,0.031596,-0.012762,-0.027596,0.082985,0.0149,-0.058923,0.020176,-0.063863,0.087383,0.0046105,-0.011166,0.008702,0.10181,0.033785,-0.029698,-0.023161,-0.060532,-0.080026,-0.051241,-0.083682,0.040703,0.036387,-0.0026973,-0.00034316,-0.056988,0.023571,0.08392,0.00758
"142",0.036128,0.0365,-0.056474,0.015736,-0.028769,-0.00117,0.0037586,0.054916,-0.0066673,-0.058021,-0.092944,-0.045701,0.10395,-0.045889,0.045237,0.10146,0.0035397,0.080088,-0.063442,-0.025861,-0.10285,0.14715,-0.20132,0.18665,-0.080556,0.020065,-0.039014,-0.031956,-0.15888,-0.069286,-0.12372,-0.00846,0.097559,0.03843,-0.004264,0.087862,-0.097083
"143",-0.0082261,0.028559,-0.018008,0.047833,-0.020884,-0.05078,-0.042797,0.065565,-0.061303,0.088064,0.08939,-0.035021,0.07471,-0.092485,-0.13481,0.069683,-0.14926,0.028909,-0.0094672,-0.15763,0.12326,0.10131,0.023536,-0.2303,0.034429,-0.12473,0.02295,-0.043692,-0.0047828,0.060027,0.10287,0.080767,-0.10268,-0.14653,-0.074288,0.088782,0.042706
"144",0.0052483,0.090974,0.0061342,-0.013062,0.0039476,-0.028778,0.037342,-0.0030936,0.045434,-0.021139,-0.048715,-0.013451,0.040595,0.027902,-0.040385,-0.011337,-0.074186,0.047983,-0.017001,-0.013901,-0.0049293,0.040285,-0.063064,-0.041321,0.026854,-0.063075,-0.025885,-0.024833,-0.042311,-0.073182,-0.0045987,0.01508,0.048198,-0.046621,-0.029906,0.078995,0.029445
"145",0.073468,-0.016309,-0.065069,0.049188,-0.0099644,-0.015065,0.025651,0.0023148,-0.02538,-0.016353,-0.0048516,-0.025346,-0.040495,-0.044248,-0.039785,0.048915,0.0048364,0.045521,-0.0024584,0.0048233,0.032908,0.012956,-0.058339,-0.036151,0.010903,0.014553,-0.068746,0.01879,0.033101,-0.048833,0.032877,0.036585,0.047045,-0.00033055,0.023755,0.014861,-0.021047
