"Based on noiseRem,RT,Repeat Rem",,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
Accepted Compounds,Cleaned Names,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
94,LysoMG(16:0) ,-0.059632464,-0.038806337,0.016828834,0.044136648,0.063977271,0.035187925,-0.030329826,-0.085400907,-0.040373796,0.020067444,-0.023145159,-0.042716123,-0.147282478,0.003407457,-0.140311187,-0.025265427,0.010986791,-0.013591807,0.010731289,-0.047060601,0.07140238,0.003879861,-0.038570652,0.136226934,-0.063967166,-0.040681472,0.033184081,0.0900019,-0.012445304,-0.075639814,0.068112406,-0.024379147,-0.049430393,0.024045632,0.131213031,0.327187882,0.097167415,0.115824867,0.3386477,-0.006886869,0.171194033,0.170771791,0.055652071,0.186684108,0.202540481,0.264967911,0.25927485,0.114712482,-0.064075829,0.152592088,-0.050454602,0.050867023,-3.116186132,-3.223407992,0.176624439,0.149429483,-0.014425083,-0.017346577,0.16957888,0.058026698,-0.051070347,0.284894462,-0.021876669,-0.030118862,0.197136122,0.212599534,0.21011014,0.156339664,0.147198538,0.273116323,0.312451849,0.294901396,0.292905102,0.249084685,0.195654981,0.282988333,0.241822781,0.199268933,0.219272093
95,PE(22:2/P-16:0),0.313232901,0.215974072,-0.200209535,-0.055274652,0.19201725,-0.102870945,0.536833856,0.161942871,0.375645379,0.04894136,0.062358144,-0.190486605,1.04965195,-0.007996958,0.302085498,0.299752787,0.3081641,-0.209165802,0.197835042,-0.048015061,0.157304491,-0.249778185,0.185012436,-0.906856222,0.275051948,0.216748591,-0.010815749,-0.314602107,0.089113678,-0.050572944,-0.559750774,-0.072701451,0.152519459,0.17443865,-0.204147026,-1.274112129,0.288260965,0.626303994,-0.522465831,0.120201276,-0.256974047,0.051627003,-0.090511814,-0.32043304,-0.416665407,-0.610660916,-1.149309133,0.023343969,0.205797564,0.598338225,0.177962253,0.030008099,-0.02465973,-0.042681961,-0.123613293,0.049227568,0.482047253,0.214814797,0.028752431,0.171234646,0.551488183,-0.393662612,0.476577366,0.063436487,0.142512807,-0.119271526,-0.010754589,0.083572298,0.140866229,-0.085234181,-0.241367688,-0.263655126,-0.165473743,-0.071123976,-0.050862284,-0.213073023,-0.198368482,-0.05559255,0.042773225
96,PE(16:1/22:6),0.64143042,0.347267206,0.764664452,0.232304918,0.291675147,0.126434853,0.266500224,0.630709556,0.585680855,0.051894991,0.413246814,0.513297075,-0.083649501,0.172404892,0.31649832,0.226279028,0.3677604,0.447667779,0.255087728,0.313937153,0.396452529,0.354121909,0.354551948,0.357452106,0.354626819,0.507342831,0.417236027,0.541211312,0.331168535,0.430284718,0.15349599,0.254066154,-0.178956902,-0.167576504,-0.640268004,-1.139956449,-0.545416841,-0.526513266,-1.220445834,-0.359659082,-0.729448808,-0.34998093,-0.156239806,-0.738140444,-0.169857323,-0.939020995,-0.319710803,-0.220342092,0.387448483,-0.937400675,0.13846174,-0.178525002,-0.412286834,-0.140036796,-0.424020093,-0.496734173,-0.008217438,0.207426489,-0.32942265,-0.232722441,0.025816392,-0.977876831,-0.279823438,-0.301966764,0.319546102,0.426042064,0.458391336,0.434775414,0.502134382,-0.351895439,-0.290815031,-0.251585252,-0.332672666,-0.345531733,0.038476175,0.05635435,0.101830647,0.133258645,0.130001932
97,DG(20:0/18:0),0.123046105,0.223960227,0.158356812,0.325082083,0.345390943,0.029047107,-0.280624729,0.086966603,-0.00430796,-0.108235206,-0.191400948,-0.0748924,-0.58447973,-0.162288691,-0.377625093,-0.117694243,0.349719879,0.045647841,0.062852067,-0.043100253,-0.105022882,0.152389678,-0.011830999,0.301559191,0.137525572,-0.155778003,0.328439966,0.335416746,-0.016282432,-0.06607073,0.126197368,0.002668611,-0.058985737,0.060241477,0.090726594,0.266666629,0.072303836,-0.194595609,0.252482273,-0.063860802,0.268753935,0.231916138,0.200457797,0.28341471,0.088276132,0.229993052,0.216230366,-0.046676086,0.054078549,0.232211332,-0.098248003,0.051489958,-2.807126536,-3.024339011,-0.082424624,-0.042933862,0.04428104,0.085239195,0.116230573,0.164804926,-0.168568486,0.056930085,-0.10876032,-0.259992585,0.411154567,0.172426887,0.176492844,0.193260319,0.217548019,0.263270781,0.24347433,0.153456607,0.118301041,0.084551595,0.291447458,0.225834176,0.163955285,0.170602835,0.169373823
98,Ceramide (d18:1/18:1),-0.192716669,0.008871874,-0.150217511,0.275310731,0.100251177,0.115845469,-0.121136838,-0.30742011,0.151776973,0.136311251,0.265381283,0.253563276,-1.674875441,0.387094219,0.514773988,0.064721249,-0.22767752,0.261149085,0.038836931,0.422438025,-0.148056396,0.308816976,-0.154166962,0.612483277,-0.047786098,-0.72637386,-0.191459005,-0.498269212,0.105016018,-0.219070244,0.462726025,0.447338028,-0.520092028,-0.178372283,0.13781052,0.931559987,-0.335487025,-0.284933075,0.6095995,-0.094888322,0.158321023,-0.210713262,0.13266377,0.122175173,0.234389238,0.641394197,0.733491073,0.18953418,-0.530078263,-0.15479442,-0.619957077,-0.451398857,0.152015285,0.012800609,0.059949508,-0.0904859,-0.452086244,-0.517489356,0.0884518,-0.631239082,-0.764948871,0.489466927,-0.379347736,-0.67601374,-0.172757717,0.21076895,0.266297775,0.190697133,0.176592352,-0.212252313,0.116908988,0.183639041,0.206947487,0.188891084,-0.035806395,0.13644415,0.244891983,0.217919598,0.206040649
99,PE(22:5/18:0),0.335295776,0.259412206,0.670540945,0.010941318,0.131736887,0.14014381,-0.085315327,0.402414301,0.417847001,-0.038179759,0.270326631,0.159490719,-1.135843015,0.357967961,0.17211615,0.038123579,-0.070419465,0.254454941,-0.011647461,0.056940995,-0.050937558,0.396513746,0.003899242,0.145007143,0.305203153,0.418054128,0.431138981,0.301906856,-0.00244187,0.372761804,0.289057461,0.344913792,0.416352371,-0.01620108,-0.146290812,-0.225347244,-0.3254154,-0.234723848,-0.398520542,-0.033440187,-0.234020421,0.072134567,0.199638608,-0.124086255,-0.162629887,-0.332196343,0.158354712,-0.401145779,0.1942,-0.19893594,-0.002463188,0.022990661,-0.422222392,-0.21241502,-0.496019442,-0.244109075,0.328351729,0.28446656,-0.026852056,-0.204303679,-0.144744518,-0.422769023,-0.119567585,0.050573208,0.240682785,-0.120907589,-0.047483468,-0.038661314,0.057008817,-0.070864792,-0.283242659,-0.382278097,-0.364694036,-0.333463364,0.083538251,-0.180368187,-0.187038979,-0.166540917,-0.095754222
100,Cer(d18:2/18:0),0.201740492,0.134047743,0.244753246,0.329627534,0.18283922,0.012258473,-0.077196835,0.009089125,0.338520198,0.200314247,0.426396972,0.430548759,-2.278186989,0.369684945,0.553964393,0.112291312,0.06985422,0.324087266,0.178154792,0.493846774,-0.093107614,0.348833653,-0.023426434,0.475607648,0.129043472,-0.448436475,-0.050138413,-0.248559165,0.210518761,-0.017401179,0.350978714,0.387917204,-0.400382821,-0.149468,-0.068119373,0.310278096,-0.402640692,-0.495408974,-0.004701237,-0.09279774,-0.01948253,-0.216384291,0.177715689,-0.035374896,0.062988872,0.152357536,0.442097503,0.059379575,-0.227440742,-0.237015871,-0.405336072,-0.382114115,0.061817643,-0.001817361,-0.113785507,-0.271172479,-0.202447838,-0.300913652,-0.005828558,-0.534424825,-0.540944293,0.038334839,-0.364562291,-0.672510128,0.166656543,0.280699555,0.288100208,0.273292234,0.271154079,-0.114823632,-0.083325159,-0.034083193,-0.021877453,-0.028643483,0.081688229,0.073102289,0.135659614,0.116402084,0.157636558
101,Cer(d18:1/22:0(3OH)),-0.095128652,0.088993612,0.168483001,-0.353187905,-0.369862995,0.449443903,0.478714889,-0.007460266,-0.068433733,0.205688111,0.308093774,0.089964527,-0.732531001,0.425158959,0.445212785,0.657503405,-0.208780638,0.105626878,0.389053848,0.196962286,0.485818873,0.214247427,0.652019174,0.292886967,0.059115118,-0.205963873,-0.002491976,0.130850184,0.41004211,0.441530755,-0.276797781,-0.090030541,-0.459103356,0.446253497,0.299961361,0.379991723,-0.339752692,-0.192353858,0.053920517,0.445102208,-0.044496857,0.447245513,-0.019083017,-0.325078795,0.499596383,-0.099292167,0.116491783,0.200534006,-0.089333287,-0.277347582,0.06094654,0.295548654,-0.333118078,-0.352421106,-0.161408579,-0.194394756,-0.033575679,0.157747528,-0.432343635,-0.188790602,-0.59714289,-0.153113511,-0.512949564,-0.397456191,-0.376914832,-0.260696618,-0.226068095,-0.105194572,-0.024542774,0.031707656,-0.045110542,-0.180131784,-0.119518691,-0.139913364,-0.080708359,-0.309483451,-0.286136737,-0.181197603,-0.181614971
102,PC(8:0/6:0),0.354770221,0.52050677,0.341242059,0.424140803,0.36061943,0.350530714,0.05086281,-0.243614767,0.092003577,0.316914153,0.372326087,0.231759836,0.209428374,0.251680822,-0.058120131,-0.030258764,0.094462645,0.326137574,0.421218653,0.269523512,0.328103131,0.408961619,0.135469946,0.149598619,0.342694228,0.32780014,0.454084254,0.401910796,0.480618043,0.351763005,0.262992215,-0.024887882,-0.413064413,-0.378261788,-0.207729868,0.240556114,-0.163638258,-0.949007383,-0.227927811,-0.611408568,0.083932243,-0.28664831,-0.250172789,-0.302243033,-0.290585142,-0.065886417,-0.253000541,-0.50317533,-0.585093801,-0.119557218,-0.334978987,0.14754632,0.260443809,-0.029404036,-0.148657402,-0.485489845,-0.453754221,-0.278966652,-0.018333992,-0.21697753,-0.81210712,-0.582916309,-0.938465734,-0.886788309,0.331241209,0.544908669,0.412042929,0.164170379,-0.112059435,0.003554654,0.079733996,0.061735045,-0.188785287,-0.475796351,0.372993662,0.323506185,0.376508458,0.105103167,-0.212337451
103,HexCer(d18:1/22:0(2OH)),0.48673797,0.317980914,-0.030809331,-0.111205826,0.18768329,-0.351450825,0.554915507,0.348844056,0.406267755,0.198153895,0.204820348,-0.123577951,0.847843114,-0.03981415,0.334940627,0.207181414,0.645701952,-0.042324324,0.318977866,0.034572487,0.184276544,-0.183272626,0.266993879,-0.899628648,0.452324455,0.551906884,0.194198927,-0.327159789,0.1688387,0.110537764,-0.347892745,-0.01586058,0.285820735,0.190188224,-0.26814964,-1.451186494,0.266014665,0.251023134,-0.944203355,0.07465336,-0.284552081,0.074839161,0.148876191,-0.339263176,-0.583334216,-0.781058849,-1.216072718,-0.111163349,0.469649879,0.433524992,0.376252163,0.088465145,0.069349652,0.146035335,-0.313783649,-0.257961319,0.612083998,0.384841098,-0.021353952,0.148645303,0.506727038,-0.581542548,0.222298983,-0.463091195,0.445264075,-0.060576451,-0.032103693,0.071830842,0.131528857,-0.046684707,-0.373514252,-0.498882961,-0.413806063,-0.353524234,0.073171048,-0.172273087,-0.232017219,-0.125511415,-0.096174813
104,PE(18:1/18:1),-0.083105548,-0.040175173,-0.296215244,-0.191439176,-0.133140731,0.250114371,0.297787732,-0.131604809,-0.33424351,-0.045109689,-0.035685795,-0.24562671,1.29148648,0.003182726,-0.121843325,-0.000521793,-0.068678316,-0.147241764,-0.034348998,-0.04118725,0.172001285,0.062109936,0.151127201,-0.302979104,-0.154003479,0.158929837,-0.25810563,0.023378785,0.114380714,-0.008727929,-0.314273303,-0.113083111,-0.087468437,-0.005337008,-0.102987311,-0.06509386,0.080435813,0.463117977,0.200680505,-0.035714834,-0.10453782,-0.170188524,-0.377892226,-0.363324576,-0.031436449,-0.335160983,-0.30754726,0.055541305,-0.285269223,-0.10465951,-0.075036364,0.05477868,0.073180494,-0.193724996,-0.082704167,0.212802119,-0.046133456,-0.227998294,-0.249911874,0.007555097,0.270969993,0.019257135,0.298438397,0.59028423,-0.16147051,-0.005088839,0.291521236,0.057229113,0.357103938,0.023871194,-0.017763915,0.200285711,0.316872867,0.290254796,0.158632572,-0.137544741,0.135825363,-0.138768191,0.130966157
105,SM(d16:1/26:1),0.278967299,0.122700778,-0.02593186,-0.091233688,0.065663006,-0.253319661,0.408546911,0.361716229,0.327663798,0.036896572,0.083281061,0.091230315,1.083429695,0.050978606,0.33846333,0.259072931,0.249993654,0.000111461,0.200417143,0.129945356,0.114268797,-0.238962627,0.235667779,-0.616227028,0.271642232,0.279650334,-0.014235597,-0.129048577,0.206506498,0.086415557,-0.353747055,0.083409031,0.163937673,0.106986482,-0.361607521,-1.206390945,0.115700921,0.261716713,-0.885359738,-0.012552991,-0.245621782,-0.098943295,-0.044568048,-0.301880576,-0.245254494,-0.699064781,-0.96305177,-0.026582571,0.258837594,0.204976944,0.155687158,-0.025232901,-0.095735301,0.038593881,-0.227523215,-0.048906353,0.393809916,0.079086006,-0.097236926,0.032467597,0.47960659,-0.627363714,0.286739131,-0.171129414,0.339502557,0.082018538,0.167676915,0.249697134,0.292023145,-0.07795482,-0.210762346,-0.254645213,-0.214692582,-0.160878344,0.069452045,-0.087224176,-0.094076997,-0.005943764,0.067735355
106,PC(P-18:0/20:5),0.088344256,-0.220424337,-0.042847205,-0.181526379,0.000387524,-0.25306182,-0.131851745,0.073637822,0.486152355,0.324351318,0.579123112,0.506934724,0.081329936,0.630880658,0.768467385,0.76224014,-0.175491831,-0.111128309,0.354028354,0.240343934,0.082258264,0.01349335,0.327409547,-0.05743279,-0.285461688,-0.090607256,-0.224736775,-0.136530154,-0.19711913,0.087819631,-0.037563216,0.244532827,-0.159082024,-0.040530719,-0.102334638,-1.046096507,-0.048644858,-0.47573352,-0.746081438,0.050165299,-0.172049375,-0.049604984,0.217379776,-0.327183796,-0.050822915,-0.474503785,-0.068812985,0.202217054,-0.232241846,-0.442463044,-0.141903127,0.079260693,-0.094684175,0.044999714,-0.089727376,-0.274597059,-0.207399586,-0.195728326,-0.230181786,-0.113389823,-0.005404092,-0.417572864,0.123724825,0.07799735,-0.021623037,0.244385133,0.282072431,0.280672403,0.246657815,-0.093418825,0.010643812,0.063328932,0.054542403,0.0839026,0.044161987,0.125089588,0.1552879,0.240641339,0.188732957
107,Sphinganine 1-phosphate,-0.00197362,-0.075444971,-0.188889707,-0.024670271,0.103799927,0.01985292,0.024210124,0.064708388,0.103843262,0.117756088,0.081084631,0.55557471,-0.792526243,0.395613437,0.204838059,0.271456539,0.072724943,0.371721146,0.309429299,0.016563781,0.315292213,0.15598129,0.176975955,0.035677453,0.130629481,0.363306077,-0.17478392,-0.073984548,-0.143196271,-0.122357666,0.023892739,0.369165547,-0.261142032,0.006653271,-0.259138322,0.079274215,-0.457792114,-0.18845641,0.027243418,0.223352935,-0.083387703,-0.032715207,0.256478541,-0.172438673,0.09711955,-0.025682422,0.336602446,-0.209128289,0.209347498,-0.192494088,0.205297131,0.017246664,0.01940531,-0.11518081,-0.202605894,-0.056514617,0.009495347,-0.138583122,-0.096743636,-0.238085538,-0.230866247,0.301346764,-0.020400896,-0.06467928,-0.014205123,-0.024900728,0.182782541,-0.228784962,-0.043293997,-0.156889173,-0.155491449,-0.165540405,0.043311994,-0.335720095,0.038714125,-0.115263607,0.035312426,-0.672779516,0.183649388
108,PE(P-18:0/18:1),0.285131629,0.226083922,-0.089179934,-0.01279213,0.342278534,-0.061067477,0.427027041,0.252555457,0.387004937,0.106823586,-0.046249461,-0.118483654,0.80151423,-0.029919087,0.137531396,0.194829631,0.281240831,-0.313675493,0.13985641,-0.073357319,0.134959868,-0.226201849,0.155688746,-0.795217244,0.208717378,0.192445041,0.095674826,-0.19579681,-0.026466812,-0.107658661,-0.434989547,-0.112420853,0.3039659,0.26793966,-0.187781367,-1.25248433,0.268956909,0.471187609,-0.434850381,0.176439289,-0.04514231,0.293326267,0.136375349,-0.030166545,-0.298688393,-0.401778158,-0.921543986,-0.057998318,0.395796631,0.713445817,0.199251718,0.06495894,0.068484914,0.071322994,-0.144333848,0.054096177,0.593194906,0.285047733,0.199113515,0.258896337,0.618346575,-0.381293238,0.365100299,0.080876076,0.255709831,-0.277105727,-0.210670232,-0.08986478,-0.067326632,-0.103019399,-0.323502921,-0.475142785,-0.440012293,-0.365142605,-0.113113765,-0.401616993,-0.424589639,-0.273794371,-0.146757561
109,Oreacerebroside F,-0.183691347,-0.271484106,0.067035728,-0.433803625,-0.561675215,0.103145677,0.149573227,-0.366649371,-0.247119905,-0.064573932,0.140769771,-0.341415865,0.232854207,-0.082604796,-0.010697685,0.149599657,-0.326205268,0.100448414,-0.191801702,-0.084375667,0.033110024,-0.178836936,0.108162473,0.097694636,-0.133264707,-0.306979734,-0.216206305,0.410619374,0.28854834,0.026797489,-0.090862262,-0.011846919,-0.266707544,0.012875894,0.224052482,1.451265581,0.052736539,0.211414893,0.895556122,0.027298098,-0.167005895,0.250514557,-0.308083157,0.179676731,0.229404596,0.443655618,0.410491011,-0.148884602,-0.30908061,0.128909383,-0.251376935,0.231465263,0.208383818,0.068976596,0.355652462,0.136829446,-0.223698267,-0.215392965,0.01940495,-0.209547212,-0.118295671,0.561927576,-0.061191009,0.288712241,-0.538478957,-0.326854564,-0.226982753,-0.299196983,-0.283517374,-0.06206002,0.156198378,0.185676014,0.145728227,0.070032192,-0.169368853,-0.127197627,-0.082664792,-0.171496022,-0.184020525
110,5-alpha-cholest-22E-en-3beta-ol,-0.427061995,-0.106096116,-0.524152466,-0.223776223,-0.194674863,0.286101063,-0.470053516,-0.617104897,-0.368591776,-0.21392004,-0.409243919,-0.23928111,-0.517106436,-0.22246796,-0.524831041,-0.114582754,-0.373380953,0.717804193,-0.299769467,-0.15635063,-0.253486862,-0.482361849,0.217309256,0.215825882,-0.284267311,-0.388932087,-0.166435758,-0.155755763,-0.39412796,-0.292157416,-0.214425654,-0.330058731,-0.050755185,0.054123171,0.086842302,0.591559859,0.090637235,0.390032096,0.509516854,0.046795247,0.51911227,0.416215676,0.428633247,0.310250507,0.045379845,0.45744261,0.354369226,-0.004895328,0.057101797,0.04036164,0.144085001,0.032274641,0.234749847,0.292074509,0.171286692,0.318931667,-0.044696903,0.059835001,0.046902679,0.039827305,-0.057523721,0.3044778,0.174028001,0.229030693,-0.400491001,-0.159428319,-0.005353783,0.030162203,0.093863939,0.161419063,0.297849288,0.248055466,0.388660525,0.358855026,-0.051344988,0.129727698,0.034722475,0.036979386,0.0757319
111,PE(P-18:0/22:6),0.10536954,0.187776691,-0.060543627,-0.129201737,-0.063068178,0.123574012,-0.057494255,-0.15653888,0.002581534,-0.136844466,-0.084364694,0.152887843,-0.454127472,0.132102028,-0.240931511,0.041405846,-0.137474215,0.007121895,0.101869936,-0.160819021,-0.018202531,0.223753949,0.058318699,0.239544422,-0.08148554,0.135251411,0.067693195,-0.135256961,-0.082327095,-0.209438868,0.043439355,-0.061653087,0.030468527,0.25877475,-0.097502526,-0.59163211,-0.163311762,-0.23841557,-0.035068823,0.153187025,0.178752144,0.195135381,0.138817625,0.284041014,0.156526827,0.027757274,0.051391649,0.127750838,0.330940159,-0.012705929,0.299840331,0.038467136,-0.121684407,0.111250282,-0.033498077,0.255948804,0.285513066,0.325946949,0.161434994,0.053893649,-0.073496682,0.101103701,0.10737371,0.155830652,-0.052675842,-0.10930726,-0.358711925,-0.284475117,-0.134579833,0.095683666,-0.163698053,-0.203917703,-0.027854768,0.101605241,-0.117044921,-0.150975893,-0.165164769,-0.16313881,-0.081492831
112,PE(18:1/22:6),0.333171879,0.34106292,0.097256174,0.472227137,0.505026309,0.438391793,0.111136121,0.078740388,-0.114063515,-0.058043271,-0.195859188,-0.133758802,0.326508456,-0.097069019,-0.139587379,0.155659259,0.185724846,0.044269726,0.048269192,-0.13442378,0.428041168,0.547868078,0.171615213,0.008871361,-0.156041769,0.182024046,0.212530308,0.32303852,0.264217549,0.123173063,0.088958126,-0.078781323,-0.031152769,-0.044136599,-0.263964597,-0.239008814,-0.262157726,0.234863907,-0.338289537,-0.120888413,-0.208925923,-0.274526426,-0.215235313,-0.324694277,-0.092777873,-0.399689216,-0.11264288,-0.129955581,0.163651836,-0.432138624,0.033784685,-0.034858688,-0.094094741,-0.015651092,-0.370892386,0.05296952,0.054094629,0.071807874,-0.430581212,0.030379705,-0.176875733,-0.234255256,-0.072788082,-0.031303178,0.085605222,-0.014329694,0.106758611,0.038096752,0.033862548,-0.137733607,-0.143044744,-0.108419124,-0.049933847,-0.034171537,-0.110538215,0.198619888,0.01984462,0.046370823,-0.001208504
113,PI(22:1/18:2),0.493430463,0.458410188,0.32411181,0.63693266,0.439096982,0.367179872,0.448092469,0.266090197,0.059890173,0.197570883,0.350208517,0.42498468,0.369392771,0.379561883,0.500975016,0.342545657,0.213231166,0.303854478,0.495748427,0.264211414,0.481010339,0.360441748,0.254565248,0.570923462,0.329668722,0.323690002,0.680289047,0.409148887,0.438356935,0.390504289,0.521254334,0.356650661,-0.498588264,-0.41351152,-0.381521453,-0.084287789,-0.384171987,-0.494584154,-0.093411705,-0.422587532,-0.27678355,-0.337967053,-0.39960635,-0.43431285,-0.264541139,-0.100733377,-0.238639947,-0.315109043,-0.510518462,-0.19550967,-0.417350029,0.070458965,-2.365547107,-3.219638326,-0.316900513,-0.174517159,-0.429963885,-0.412420631,-0.196017153,-0.344765004,-0.489458626,-0.12760415,-0.375285777,-0.416131187,0.357611479,0.450359118,0.456610469,0.442401004,0.46776093,-0.283052006,-0.165811879,-0.150544062,-0.153945749,-0.127502142,0.179947072,0.258291658,0.25663657,0.348122695,0.272617892
114,LysoPC(16:0),0.11488829,-0.109465283,0.187279884,-0.184415986,-0.180435912,-0.234252552,-0.112107931,0.180735025,0.125915335,-0.242976996,-0.099708992,0.059491773,-0.183382628,-0.175118364,-0.159455054,-0.099279047,0.053454891,0.018166894,0.00945406,0.022493338,-0.327532158,-0.194719156,-0.050306458,-0.401301693,-0.238528188,-0.058424768,-0.159125654,-0.053326915,0.001904389,-0.147362679,-0.076697383,0.044020281,-0.165002979,-0.102893062,-0.195714061,-0.634573599,-0.261367875,-0.556285378,-0.446409739,-0.133011286,-0.411728041,-0.54839366,-0.047859242,-0.438240456,-0.118187243,-0.500334638,-0.249688367,-0.347989687,0.077289556,-0.721250166,-0.175691414,0.021819784,-0.224052985,-0.292431711,-0.383953868,-0.454648455,-0.172554277,-0.02976756,-0.260710407,-0.30561193,0.011630692,-0.383287387,-0.142798154,-0.384464951,-0.274690078,0.04006971,-0.055069953,0.091039633,0.101386847,0.213182464,0.222030244,0.311228967,0.270033075,0.219200761,2.059208821,2.112526994,2.119369604,2.098335662,2.120429431
115,PC(P-16:0/20:0),0.177040401,0.140435288,-0.14120476,-0.199911554,0.090538434,-0.183753769,0.521428239,0.182856039,0.127357691,-0.004202786,0.102197289,-0.154689051,1.217032529,0.070016035,0.445418559,0.293180418,0.390276716,-0.197316798,0.148890554,-0.026164458,0.191484335,-0.228003233,0.138077727,-0.72630781,0.146423409,0.30773642,-0.102146982,-0.008878261,0.119456921,0.20274866,-0.405219291,0.041470769,0.046577382,-0.013990473,-0.086655633,-0.514570801,0.176384147,0.354070484,-0.374107511,-0.036338927,-0.390303984,-0.145633459,-0.192470031,-0.477608398,-0.402028354,-0.507281074,-0.890334826,-0.080853179,-0.051890178,0.207875627,0.081957164,0.030133074,-0.017225584,-0.11105288,-0.146675493,-0.23790765,0.148432752,-0.068930931,-0.088275102,-0.002154216,0.249339054,-0.415078502,0.242360876,0.071808098,0.017130717,0.201190451,0.215366647,0.211530734,0.213307381,-0.085414175,-0.016425994,-0.017548446,-0.021862088,-0.102922031,-0.011936596,0.113693697,0.074624972,0.10905808,0.066367503
116,PE(P-16:0/18:1),-0.030152348,-0.038005448,-0.35291015,-0.292228004,-0.07447568,-0.12109373,0.208635046,-0.257831374,0.074394535,-0.115971719,-0.18935147,-0.562144391,0.77603996,-0.187934792,0.042122546,-0.087044103,0.105053796,-0.205027372,-0.022285346,-0.351613114,0.053534206,-0.231782791,0.025921703,-0.688039341,0.161586935,0.21668207,-0.173467436,-0.312378339,-0.227206149,-0.273148219,-0.447422419,-0.197035843,0.422518502,0.173495402,0.207871219,-0.513219102,0.600692272,0.465162293,0.078987181,0.297906042,0.236760699,0.268782037,0.176417779,0.048071435,-0.282717287,0.016162795,-0.741066313,-0.039143762,0.096263979,0.935745306,0.111791235,0.221002243,0.293429702,0.114500655,-0.022144669,0.243537087,0.443498991,0.33754891,0.342212103,0.344771625,0.337045416,0.150259686,0.398725247,0.324686178,-0.117960687,-0.357223909,-0.153975592,-0.317558272,-0.362761999,0.133039902,0.016320708,-0.09441282,-0.129864837,-0.120203779,-0.013667003,-0.213146761,-0.14957092,-0.21156093,-0.222429205
117,DG(18:0/20:1),0.000641371,0.104865011,-0.196560739,-0.224916746,0.142765987,0.036602948,0.503219428,0.058994519,-0.039878275,-0.108012525,-0.136433442,-0.376417166,0.915138781,-0.234514569,-0.016491414,0.13079021,0.327402747,-0.079020513,0.02822502,-0.263639695,0.08378002,-0.232155002,0.129084631,-0.923926025,0.206183588,0.067318953,-0.018058047,-0.217998876,0.109497126,-0.047539999,-0.504083561,-0.143463138,0.424565947,0.245250589,0.028131008,-1.153751909,0.525527489,0.492943889,-0.317578113,0.39836648,-0.103926574,0.190926619,-0.015572858,-0.098569668,-0.357096923,-0.386249825,-1.063236545,-0.168054,0.116007358,0.659153541,0.228408103,0.314920541,0.397147547,0.214689141,0.043829906,0.250178719,0.446285217,0.322125921,0.298983743,0.352091523,0.588916504,0.032070898,0.675589067,0.14591203,-0.003203709,-0.303112043,-0.300515875,-0.063039962,-0.082318994,-0.022479529,-0.183905653,-0.306205441,-0.198724477,-0.222620584,-0.023677394,-0.313610365,-0.372905569,-0.226477503,-0.186588875
