"Based on noiseRem,RT,Repeat Rem",Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5
Accepted Compounds,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCHip,QCHip,QCHip,QCHip,QCHip
18,-0.100088154,0.035552118,-0.163485601,-0.116378356,0.491180621,0.754535187,0.340355723,0.053175715,-0.122661521,0.038601744,-0.214582073,0.316557804,-0.075414623,0.401449091,-0.518395306,-0.349931061,-0.575908753,0.805412179,-0.332200392,0.076934186,0.9673566,0.737681196,0.391399363,0.293215839,-0.171135261,-0.288353727,0.496004902,0.362631465,0.884977938,0.386423377,0.595493733,0.305313013,-0.305588892,-0.126639324,-0.124556726,-0.238742724,-0.339317812
19,0.369603858,0.214312814,-0.159967999,-1.030217225,0.381682948,0.438274361,-0.7441427,0.193743328,-0.399473452,0.034616539,-0.018346967,-0.481757064,-0.802588057,-0.671958338,-1.198795626,-0.166882111,0.173925611,0.522006132,0.22218233,0.211528241,0.044141855,-0.055393415,-0.205768262,-0.011142861,0.757988156,0.425742926,0.083570175,0.166000095,0.642703027,-0.320263176,0.499482281,0.034501228,0.01542949,-0.293132837,-0.242104296,-0.168266543,-0.166793903
20,0.377279221,0.298147521,0.117799186,-0.358010465,0.162310684,0.091258431,-0.353736837,0.236514391,-0.307616991,0.350985448,0.105501108,0.085290526,-0.321356417,-0.404008247,-0.04260551,-0.286748384,0.165637717,0.021467671,0.288205175,0.416857767,-0.031202553,0.027792713,-0.034790749,0.046308549,0.503071408,0.534903053,0.026512892,0.348861179,0.049595834,-0.057305168,0.218242746,0.004771365,0.023459206,-0.115485473,-0.387478465,-0.259658687,-0.259633411
21,0.623927667,0.184605794,0.027121339,-0.241740688,0.127356418,0.043887304,-0.042573349,0.367546747,-0.162349801,-0.279603344,-0.010541503,-0.12509196,-0.21193496,-0.313090877,-0.142720208,-0.339228415,0.381564669,0.332032872,0.247743372,0.214367452,-0.26347357,-0.053707743,-0.363077496,0.090337431,0.624393162,0.367977631,-0.063815331,0.296971993,-0.014036687,-0.048154076,0.196645287,0.052536413,0.113371183,-0.192949338,-0.301900939,-0.2356676,-0.207315969
22,0.208070532,0.105392186,-0.149600294,-0.429944667,-0.383895159,-0.193089829,-0.690706442,-0.037143488,-0.326481057,0.444705291,0.318240451,-0.053489392,-0.163862873,-0.435500424,0.201050262,-0.241779591,0.152660888,-0.527548048,0.020726559,0.028062741,-0.225848697,-0.176790703,-0.343701904,-0.271525831,0.12883392,0.394734988,0.039051209,-0.19320653,-0.046600038,-0.460165182,-0.076778484,0.025508823,-0.152573224,-0.31797384,-0.407740911,-0.462755895,-0.378172784
23,0.020589098,0.273840899,0.111540038,0.06930365,0.142415468,-0.009121795,-0.258369918,0.131757754,0.038667034,0.170282637,0.085396943,-0.200457562,-0.096212061,0.033937797,0.29937875,0.188643898,0.066596703,-0.369136655,0.064929965,0.271887161,0.145850841,0.230740094,0.0542618,0.326311171,-0.152427157,-0.064666132,0.177069497,0.154007495,-0.220110682,0.15409071,0.198744349,-0.204178041,-0.216830549,0.189478641,0.110097404,0.174536569,0.054111809
24,-0.10690535,0.004219228,0.168018264,0.160983804,0.038029755,-0.345218374,0.485417404,0.178500182,0.239414902,0.201790219,0.299482973,0.052270384,0.21924405,0.428863095,-0.001690461,-0.02994428,0.133729097,-0.242159986,0.037197726,0.087967875,0.396202999,0.433801243,0.296311738,0.06291777,-0.139114002,0.036499292,0.553861903,0.055278503,0.410120814,0.108750703,0.417609961,0.161373274,0.078456443,0.190280623,0.320305973,0.272822741,-0.05691785
25,0.142608282,0.312156496,0.116012019,0.384725959,-0.040541093,0.402474086,0.575693675,-0.109059975,0.265972852,0.256662892,-0.018663639,0.266815462,0.185226453,0.330303757,0.03855872,-0.226795454,0.397689825,0.210073742,0.114181188,0.002553088,0.023681483,0.006440128,-0.105128574,0.217179205,0.150317908,0.337968329,0.120154185,0.097571817,-0.409977979,0.282806992,-0.238046809,0.125343662,-0.215825294,-0.107425223,-0.230443241,-0.328439374,-0.35486371
26,-0.369532068,-0.26263343,-0.264631089,-0.229585925,-0.285869253,-0.106204156,-0.499183643,-0.34418114,-0.416022933,-0.270675953,-0.279865994,-0.327629564,-0.049138576,-0.326639879,0.018154224,-0.081326644,-0.178879377,-0.839733246,-0.025499517,-0.140579473,-0.281243194,-0.21935016,-0.045922398,-0.265432171,-0.435144849,-0.30827596,-0.389060496,-0.249322388,-0.253604376,-0.377091388,-0.320093956,0.007105426,-0.293315556,-0.125479893,-0.108096566,-0.138711952,-0.216136528
27,-0.361041826,-0.268776248,-0.102741932,0.379834582,-0.046361641,-0.236065123,-0.030043246,-0.018231139,-0.449039044,-0.509728314,-0.386543861,-0.307235112,0.083237949,-0.117454718,0.406751875,0.114806542,-0.543362335,-0.989231484,-0.294268843,-0.161012574,-0.166440346,-0.209386578,0.117656679,-0.138803913,-0.554730406,-0.422959963,-0.369414012,-0.165043949,-0.285727112,-0.062339631,-0.168836355,-0.098109348,-0.184782846,0.181732117,0.278188712,0.242067651,0.286601127
