"Based on noiseRem,RT,Repeat Rem",Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5
Accepted Compounds,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx
30,-0.357022255,-0.092163773,-0.497766828,-0.184212461,-0.464724342,0.110093339,-0.014176899,-0.344484563,-0.228423523,0.027249833,0.075952175,-0.021448112,0.962125193,0.020217045,-0.110294682,0.11183718,-0.18801714,-0.381274145,-0.368154532,0.293541775,-0.392471049,-0.440768251,-0.052656756,-0.37003814,-0.303588781,-0.412810817,-0.420624078,-0.2348263,0.215217077,-0.500748028,0.129676917,0.030091454,-0.157025865,-0.257383658,-0.12976794,-0.193339764,-0.153205425
31,0.013098864,0.170119977,0.184611154,-0.566737568,-0.406281687,0.467200737,0.638231753,0.161125887,0.079226845,0.304805083,0.359392023,0.115989981,-0.508538819,0.496324522,0.550702152,0.768964839,-0.411798803,0.065806383,0.491008294,0.183131814,0.492663849,0.250527368,0.702047374,0.445171686,0.185115662,0.006597838,0.123340895,0.314939276,0.515450862,0.44360427,-0.274318358,0.006260787,-0.297206485,-0.188380956,-0.125681601,-0.006105149,0.079654308
32,0.31687672,0.190751074,0.027415515,-0.181748476,0.050390544,-0.220319927,0.252535588,0.256590419,0.447201451,0.16177316,0.231358933,-0.058589227,0.599169698,0.130808978,0.325201566,0.252117921,0.511638918,-0.323973684,0.347901466,0.057469594,0.229979824,-0.189096397,0.253829158,-0.890235066,0.317087601,0.515840737,0.034803719,-0.143362117,0.08246052,0.091187245,-0.436007733,-0.008079174,0.225333015,0.172003816,0.187314573,0.119886672,0.121543287
33,0.361532301,0.084112095,0.149025512,-0.174456206,-0.048961444,-0.031823276,0.077781582,0.288656608,0.245011519,0.005918366,0.380256229,0.289831637,1.510351044,0.494071519,0.339043869,0.590814936,0.121191414,-0.148916371,0.305079292,0.359104721,0.121963971,0.041223258,0.404888061,0.085658874,-0.030094052,0.100506011,0.023228296,0.109128601,0.099198923,0.065274685,0.085112691,0.351032572,0.140612179,0.40877164,0.2503537,0.464655619,0.343556887
34,-0.022632614,0.239667348,0.200302213,-0.572787527,-0.472341645,0.500470092,0.617885317,0.162688753,-0.05343329,0.244230266,0.352550712,0.157805873,-0.591384913,0.544387309,0.501085961,0.730562011,-0.453641762,0.057268087,0.457018026,0.206187903,0.450757881,0.293212061,0.710833441,0.491246399,0.154162884,0.059207468,0.037804532,0.326014035,0.526992721,0.434924035,-0.288991977,-0.000828324,-0.423371961,-0.204061306,-0.141588358,0.076624829,0.062359509
35,0.138123012,0.323100426,0.118801814,0.274113703,0.310152071,0.341019873,0.034285351,0.001479488,-0.33095445,-0.183806144,-0.052874255,-0.23477096,-0.156206307,-0.316258696,-0.512034907,-0.425870565,-0.034206907,0.604633229,-0.298398849,-0.210324391,0.339107703,0.272670406,-0.358139138,-0.251027961,0.423236958,0.365300153,0.15380059,0.226189605,0.153681079,-0.03388896,-0.376478534,-0.642448858,0.439709137,-0.118911098,-0.099146253,-0.093793737,-0.199480099
36,0.122993526,0.248404928,0.361658777,0.100029836,0.238053077,0.449553769,-0.069458052,0.046837493,0.01012377,0.219234981,-0.10891011,0.004220121,0.581306789,0.132658779,-0.469202666,0.041458296,0.051877332,0.276846604,-0.065843227,-0.0300805,0.02996409,0.427808492,-0.248576933,0.051054281,0.151459297,0.651790946,0.547558929,0.254911342,0.004612293,-0.139666825,-0.143312279,-0.27911864,-0.092416673,0.291393835,0.028659346,-0.13513723,0.168832971
37,0.215347113,0.039960531,-0.037535873,-0.202503998,0.028123293,-0.169231139,0.46251613,0.321835085,0.284041479,0.170998498,0.221654644,0.027501505,0.972902242,0.2335335,0.534303481,0.354571783,0.366233944,-0.158929329,0.314174471,0.148317087,0.288743721,-0.108940217,0.346979131,-0.809448768,0.156598749,0.350840961,-0.113045804,-0.187354839,0.130303029,0.198460065,-0.317228974,0.134828182,0.131123782,0.293793918,0.341884694,0.399955876,0.437375818
38,-0.167796281,-0.071017094,-0.832695296,-0.06964091,-0.109575604,0.086981331,0.141953755,-0.618118107,0.090273277,-0.024220413,-0.117478041,-0.567541845,0.835276412,-0.184881471,0.075097843,0.116770302,-3.32E-05,-0.389759292,0.114893957,-0.236431339,-0.031339948,-0.326383944,0.265823223,-0.808326197,-0.030168896,0.115269895,-0.300263278,-0.386110271,-0.274532209,-0.488788082,-0.334259634,-0.189305436,-0.11713043,-0.08042728,-0.271340772,-0.292337727,-0.348532449
39,-0.463795408,-0.336102428,-0.829925406,-0.91535919,-0.49069618,-0.045059719,-0.376752665,-0.548899458,-0.610266075,-0.259135352,-0.530566999,-0.36956121,-0.584306208,-0.484966715,-0.314694639,-0.742981182,-0.365275993,-0.570214527,-0.580939371,-0.427678029,-0.328708346,-1.13093141,-0.860605761,-0.530582511,-0.347311906,-0.580084832,-0.413512859,-1.120477078,-0.438582775,-0.814147187,-0.440975935,-0.377967085,-0.552993548,-0.416041435,-0.388550804,-0.413783646,-0.386479645
40,0.464730862,0.338971607,0.358723026,0.428323069,0.174147198,-0.152486235,0.089825778,0.300163813,0.553466757,0.371355385,0.479305021,0.624798369,-1.135242288,0.265035003,0.562274042,0.049287758,0.631941828,0.250857819,0.284932567,0.578182508,-0.01418904,0.198479019,-0.024433763,0.12013455,0.530967607,-0.154271987,0.024662178,-0.233832142,0.317176852,0.003364893,0.02598871,0.185211081,0.413527847,0.228784274,0.209796753,0.330709178,0.400874271
41,0.840978451,0.496272336,0.852699521,0.145402925,0.091118311,0.190117513,0.501902545,0.808308525,0.060157034,0.366792247,0.022453266,0.406648175,0.502954897,-0.128372756,0.161926156,-0.075893255,0.73795527,0.462349419,0.682839417,0.239602421,0.218834308,0.1302477,0.278462817,-0.031024401,0.362401655,0.100025618,0.17026518,0.275622534,0.397420713,0.406309203,-0.632935167,-0.310381305,0.19135213,0.431270641,0.348117348,0.374349264,0.473321001
42,0.657497576,0.293891081,0.100755593,-0.013896303,0.221353854,-0.340115392,0.476179602,0.218715446,0.540384827,0.142070925,0.208210923,-0.051235351,1.083098281,0.113136948,0.538496285,0.161855445,0.536770935,-0.248442994,0.292556301,0.040462653,0.215854016,-0.23723018,0.211187427,-1.053003919,0.382767984,0.614647277,0.096685746,-0.334782957,0.065195664,0.167798314,-0.475681635,-0.12013956,0.538245304,-0.034748901,0.083710648,0.20521675,0.272958745
43,0.686499766,0.202439492,0.257400192,-0.254761137,0.08737497,0.065175412,0.363601921,0.468189505,0.339353728,-0.061633819,-0.026433964,0.406253019,1.475706053,0.11097826,0.375256638,0.047448839,0.216714691,0.239523422,0.920829889,0.493522656,0.17780782,0.070707832,0.377619508,0.070100756,-0.07430925,0.248668951,-0.082133586,0.345852707,0.070484514,0.267076621,-0.312351426,0.062501754,0.223045167,0.37421785,0.424467672,0.405884921,0.483068475
44,-0.871744676,-0.859004312,-1.064967633,-0.751514357,-0.582738968,-0.31054731,-0.901794536,-1.042450304,-0.798381781,-0.741851359,-0.882447506,-0.834113712,-0.790775809,-0.836529164,-0.799295442,-0.807336157,-0.87980173,-0.047565994,-0.23834123,-0.298708982,-0.778537804,-0.172675517,-0.634679546,-0.077228009,-0.879497088,0.014001736,0.005191612,-0.222637097,-0.910657891,-0.222114522,-0.144726172,0.075532558,-0.524619867,-0.417147919,-0.362052942,-0.413988496,-0.398667746
45,-0.038416783,-0.097644095,0.472680268,-0.444709176,-0.520195111,-0.102350846,-0.101481296,-0.13735311,0.135721837,-0.039250954,0.501194599,0.004282496,0.55419515,0.310601261,-0.419645982,0.077935078,-0.187506237,0.139655202,-0.202068287,0.232953332,-0.372522277,-0.149313525,-0.270272505,0.069097697,0.309601724,0.104828741,0.129706517,-0.009176346,0.097876781,0.042958029,0.208306883,0.036977398,-0.115298208,0.065499738,-0.074082116,-0.100666354,0.045489194
