,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29
,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS
25,0.142608282,0.312156496,0.116012019,0.384725959,-0.040541093,0.402474086,0.575693675,-0.109059975,0.265972852,0.256662892,-0.018663639,0.266815462,0.185226453,0.330303757,0.03855872,-0.226795454
26,-0.369532068,-0.26263343,-0.264631089,-0.229585925,-0.285869253,-0.106204156,-0.499183643,-0.34418114,-0.416022933,-0.270675953,-0.279865994,-0.327629564,-0.049138576,-0.326639879,0.018154224,-0.081326644
27,-0.361041826,-0.268776248,-0.102741932,0.379834582,-0.046361641,-0.236065123,-0.030043246,-0.018231139,-0.449039044,-0.509728314,-0.386543861,-0.307235112,0.083237949,-0.117454718,0.406751875,0.114806542
28,0.049550245,0.082196874,-0.071749452,-1.197285634,0.399171425,0.511133879,-0.158481775,0.275684323,0.076437114,0.148615422,0.050341331,0.164591358,-0.112241101,0.088548121,-1.014659503,-0.063047634
29,-0.248062461,-0.051436474,-0.420974041,-0.526894455,-0.456224823,-0.745423542,-0.751074554,-0.437379057,-0.051570614,-0.441093166,0.219971669,-0.334191653,-0.327174959,-0.378032325,-0.491462051,-0.095386944
30,0.253143768,0.231034774,0.003171073,-0.163189052,0.108256226,-0.213006131,0.078373493,0.019787882,0.197481274,0.040706776,0.185569336,0.281207474,0.148780383,0.324634544,-0.163539624,0.381866709
31,-0.619879423,0.444316847,0.192478573,0.481082503,-0.582702952,-0.510289254,0.115621283,0.428840528,-0.202592027,0.523431839,-0.129256853,-0.437158726,0.593525083,-0.240385723,0.15663569,0.240269408
32,0.257928905,0.124769352,-0.053376267,-1.347900966,-0.004434946,0.073949392,-0.832436064,-0.177663249,-0.24021175,0.143963798,0.107375764,-0.383829009,-0.337488887,-0.687390598,-1.442053876,-0.041709046
33,-0.110749233,-0.064177337,-0.444748515,-1.220456831,-0.433126239,-0.562897892,-0.720661946,-0.213465572,-0.31011767,-0.257125915,0.063718585,-0.45968256,0.022213809,-0.566823467,-0.557197826,-0.132871852
34,-0.664536919,0.543088429,0.23753964,0.467766713,-0.64956473,-0.497467484,0.076852467,0.485078723,-0.167550619,0.494108643,-0.197612009,-0.513819554,0.598678739,-0.251606875,0.275275502,0.245239014
35,0.362230997,0.339716082,0.043310553,0.037995626,0.040374889,0.180800766,0.042620672,0.344973365,-0.047700883,-0.020262472,-0.00516169,-0.236380751,-0.159790991,-0.397090166,0.000202451,-0.401863851
