,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3
,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS
34,-0.453641762,0.057268087,0.457018026,0.206187903,0.450757881,0.293212061,0.710833441,0.491246399,0.154162884,0.059207468,0.037804532,0.326014035,0.526992721,0.434924035,-0.288991977,-0.000828324
35,-0.034206907,0.604633229,-0.298398849,-0.210324391,0.339107703,0.272670406,-0.358139138,-0.251027961,0.423236958,0.365300153,0.15380059,0.226189605,0.153681079,-0.03388896,-0.376478534,-0.642448858
36,0.051877332,0.276846604,-0.065843227,-0.0300805,0.02996409,0.427808492,-0.248576933,0.051054281,0.151459297,0.651790946,0.547558929,0.254911342,0.004612293,-0.139666825,-0.143312279,-0.27911864
37,0.366233944,-0.158929329,0.314174471,0.148317087,0.288743721,-0.108940217,0.346979131,-0.809448768,0.156598749,0.350840961,-0.113045804,-0.187354839,0.130303029,0.198460065,-0.317228974,0.134828182
38,-3.32E-05,-0.389759292,0.114893957,-0.236431339,-0.031339948,-0.326383944,0.265823223,-0.808326197,-0.030168896,0.115269895,-0.300263278,-0.386110271,-0.274532209,-0.488788082,-0.334259634,-0.189305436
39,-0.365275993,-0.570214527,-0.580939371,-0.427678029,-0.328708346,-1.13093141,-0.860605761,-0.530582511,-0.347311906,-0.580084832,-0.413512859,-1.120477078,-0.438582775,-0.814147187,-0.440975935,-0.377967085
40,0.631941828,0.250857819,0.284932567,0.578182508,-0.01418904,0.198479019,-0.024433763,0.12013455,0.530967607,-0.154271987,0.024662178,-0.233832142,0.317176852,0.003364893,0.02598871,0.185211081
41,0.73795527,0.462349419,0.682839417,0.239602421,0.218834308,0.1302477,0.278462817,-0.031024401,0.362401655,0.100025618,0.17026518,0.275622534,0.397420713,0.406309203,-0.632935167,-0.310381305
42,0.536770935,-0.248442994,0.292556301,0.040462653,0.215854016,-0.23723018,0.211187427,-1.053003919,0.382767984,0.614647277,0.096685746,-0.334782957,0.065195664,0.167798314,-0.475681635,-0.12013956
43,0.216714691,0.239523422,0.920829889,0.493522656,0.17780782,0.070707832,0.377619508,0.070100756,-0.07430925,0.248668951,-0.082133586,0.345852707,0.070484514,0.267076621,-0.312351426,0.062501754
44,-0.87980173,-0.047565994,-0.23834123,-0.298708982,-0.778537804,-0.172675517,-0.634679546,-0.077228009,-0.879497088,0.014001736,0.005191612,-0.222637097,-0.910657891,-0.222114522,-0.144726172,0.075532558
45,-0.187506237,0.139655202,-0.202068287,0.232953332,-0.372522277,-0.149313525,-0.270272505,0.069097697,0.309601724,0.104828741,0.129706517,-0.009176346,0.097876781,0.042958029,0.208306883,0.036977398
46,0.285393353,0.414246699,0.577550924,0.414022836,-0.040545911,-0.036783837,0.211763243,-0.011999775,0.284231774,0.092340009,-0.121006627,0.145620743,0.162929222,0.268209913,-0.348780069,-0.038939685
47,-0.102068586,0.139453654,0.230264361,0.156839103,0.170446484,0.159770958,0.240537249,0.115674165,0.064103697,0.062461806,8.25E-05,-0.056879599,0.136480397,0.355703035,0.168463738,0.417544186
48,-0.078112236,-0.507324944,0.089273694,-0.282726903,-0.063302682,-0.384502925,0.08295362,-0.652013223,-0.162680552,-0.017265105,-0.518773884,-0.561295504,-0.189120638,-0.323703397,-0.339916683,-0.069351474
50,0.10129971,0.302266343,-0.16189659,0.22192878,-0.369922208,-0.205689467,-0.011917716,-0.169201915,0.269626212,-0.067741304,0.077232006,-0.556674678,0.312584537,0.080502685,0.039191068,0.09393891
51,-0.043850567,0.217322304,-0.343429114,-0.087764578,-0.170760525,0.088835296,-0.21625111,-0.617986543,0.075737367,0.04527238,-0.203543471,-0.174405466,0.149448628,0.235684786,-0.137676584,-0.135309186
54,-0.004016992,0.069572422,0.041501814,-0.285208005,0.318974889,0.258789587,-0.127599464,0.044859473,0.059997925,0.288898045,0.394470752,0.218206888,0.087750638,-0.110561494,-0.214991029,-0.13731827
55,0.176383379,0.184436155,0.50093743,0.403147941,0.195767836,0.236603528,0.448774447,0.315256278,0.062492132,0.424574785,0.221241472,0.47690506,0.0052583,0.199772595,0.033832632,0.386037274
56,-0.01550649,0.212477817,0.334507251,0.274220172,0.177516878,0.125965886,0.381672711,0.609482349,0.095672425,0.17302949,0.100670226,0.449174045,0.147434076,0.212306689,0.070140757,0.379857665
57,0.30999728,0.329367756,0.217274859,0.535358856,0.231996227,0.057056586,0.132745725,-0.158334375,0.357251337,0.171683993,0.096849656,0.137428717,0.348698799,0.316453385,-0.214546783,0.03518081
58,0.15870001,0.028452255,-0.117920516,0.286726422,0.000815545,-0.036720147,0.00689383,0.054955621,0.283024484,0.167398693,0.148389414,0.603926809,0.287911333,-0.021999339,-0.102067579,-0.249032156
59,0.492700166,-0.350411103,0.050491246,-0.095617188,-0.101873942,-0.091557019,0.17658794,-0.463474021,-0.061650734,-0.102464298,-0.138088673,0.023279105,-0.188006544,-0.098573297,0.227975587,0.027773701
60,0.302543545,0.343036343,0.343043012,0.439357234,0.201837782,0.072900715,0.231017834,0.049491269,0.154437649,0.276157794,0.19123701,0.269621749,0.327325893,0.274969361,-0.072663807,0.38033947
61,0.308218835,0.141927368,-0.439546201,-0.058668768,0.661607866,0.00920894,-0.115457312,-0.406801364,0.234054123,-0.294736111,0.222910785,-0.305339071,0.533031823,-0.159360981,-0.330587346,-0.060222543
62,0.179477098,0.547593464,-0.350551407,0.239833685,-0.148277225,-0.028869893,0.010292034,0.152309786,0.431548191,-0.114221334,0.035672976,0.670782876,0.255380607,0.090695291,-0.084118542,-0.178712108
63,-0.403285993,-0.131492297,0.020456984,-0.218019471,-0.105797725,0.249836668,0.141164454,0.521270846,-0.362633087,-0.671743544,-0.523467305,0.072446352,-0.034413794,-0.236654022,0.52172737,0.15355809
64,0.088924771,0.026552389,0.362084344,0.349698177,0.106332851,-0.067203545,0.34737088,0.279415005,-0.003429678,0.170249657,0.078010526,0.138752882,0.011273723,0.066301464,0.158232321,0.459078472
65,-0.119756767,0.416628238,0.037009454,0.091130616,-0.192950325,0.01316867,-0.346565349,0.110079624,0.337290005,0.157450255,0.360470596,-0.137212212,0.137936581,0.240973681,0.035568126,-0.015601411
66,0.155885101,0.106287481,0.007306415,0.010613368,0.045902304,0.257500015,-0.229777611,-0.224225027,0.048253378,0.294848159,0.314985915,0.459356516,-0.026122357,-0.252218767,-0.194963727,-0.463903987
67,0.168136028,0.484738859,0.299514279,0.306783234,0.122322147,0.254462252,0.334872919,0.371859751,0.355798988,0.193481254,0.276540022,0.468259768,0.303325112,0.384373912,-0.14406445,0.188115963
68,-0.174033393,-0.021923643,-0.218124589,-0.033564211,-0.327374557,-0.26838946,-0.148355852,-0.037443013,-0.186754127,-0.271160351,-0.162195101,-0.16601219,0.081150031,-0.449881032,0.171227766,-0.066602194
