"","index","pvalAdjSpear","pvalunadjSpear","estimateSpear","pvalAdjPear","pvalunadjPearson","estimatePearson"
"26",26,0.41103392359584,0.41103392359584,-0.339245095640546,0.41103392359584,0.41103392359584,-0.339245095640546
"27",27,0.953761788772996,0.953761788772996,-0.0246703875528004,0.953761788772996,0.953761788772996,-0.0246703875528004
"28",28,0.693164718966813,0.693164718966813,0.166708473728668,0.693164718966813,0.693164718966813,0.166708473728668
"29",29,0.122882539208764,0.122882539208764,0.590982576502052,0.122882539208764,0.122882539208764,0.590982576502052
"30",30,0.972630066450171,0.972630066450171,0.0145993722503166,0.972630066450171,0.972630066450171,0.0145993722503166
"31",31,0.429804096192042,0.429804096192042,0.326582904058002,0.429804096192042,0.429804096192042,0.326582904058002
"32",32,0.446185104562539,0.446185104562539,0.31572124716356,0.446185104562539,0.446185104562539,0.31572124716356
"33",33,0.217380839967843,0.217380839967843,0.490311923318338,0.217380839967843,0.217380839967843,0.490311923318338
"34",34,0.204047555360665,0.204047555360665,0.502839743464864,0.204047555360665,0.204047555360665,0.502839743464864
"35",35,0.456445758033656,0.456445758033656,0.30900155779433,0.456445758033656,0.456445758033656,0.30900155779433
"36",36,0.647317790736871,0.647317790736871,-0.192823428234318,0.647317790736871,0.647317790736871,-0.192823428234318
"37",37,0.47661904536928,0.47661904536928,-0.29596590108205,0.47661904536928,0.47661904536928,-0.29596590108205
"38",38,0.126456744317388,0.126456744317388,0.586517232050997,0.126456744317388,0.126456744317388,0.586517232050997
"39",39,0.048952279299737,0.048952279299737,0.708979051922119,0.048952279299737,0.048952279299737,0.708979051922119
"40",40,0.119361629235683,0.119361629235683,-0.595453317482921,0.119361629235683,0.119361629235683,-0.595453317482921
"41",41,0.619453969384352,0.619453969384352,-0.208961015949959,0.619453969384352,0.619453969384352,-0.208961015949959
"42",42,0.771937968879866,0.771937968879866,0.122863949664654,0.771937968879866,0.771937968879866,0.122863949664654
"43",43,0.220837994755986,0.220837994755986,0.487129375184782,0.220837994755986,0.220837994755986,0.487129375184782
"44",44,0.524874864294937,0.524874864294937,0.26563079781353,0.524874864294937,0.524874864294937,0.26563079781353
"45",45,0.578012358618417,0.578012358618417,-0.233397702053078,0.578012358618417,0.578012358618417,-0.233397702053078
"46",46,0.426529578353949,0.426529578353949,-0.328774733434374,0.426529578353949,0.426529578353949,-0.328774733434374
"47",47,0.679576566090952,0.679576566090952,0.174396301785203,0.679576566090952,0.679576566090952,0.174396301785203
"48",48,0.276916617470384,0.276916617470384,0.438672465359111,0.276916617470384,0.276916617470384,0.438672465359111
"49",49,0.134009146997393,0.134009146997393,0.577308811228412,0.134009146997393,0.134009146997393,0.577308811228412
"50",50,0.544508678040555,0.544508678040555,-0.253590973241197,0.544508678040555,0.544508678040555,-0.253590973241197
"51",51,0.758785818382946,0.758785818382946,0.130108441699814,0.758785818382946,0.758785818382946,0.130108441699814
"52",52,0.413799544868459,0.413799544868459,0.33736419650198,0.413799544868459,0.413799544868459,0.33736419650198
"53",53,0.833275337340346,0.833275337340346,-0.0893949420840115,0.833275337340346,0.833275337340346,-0.0893949420840115
"54",54,0.411834446771274,0.411834446771274,0.338700103358713,0.411834446771274,0.411834446771274,0.338700103358713
"55",55,0.519469036248539,0.519469036248539,-0.268974686493173,0.519469036248539,0.519469036248539,-0.268974686493173
"56",56,0.310685659035288,0.310685659035288,0.411830501144457,0.310685659035288,0.310685659035288,0.411830501144457
